filename,epidemiology,Covid,crowd,Given,a,numWord
28058518.txt,0,0,0,0,127,9198
28332037.txt,1,0,0,0,106,13661
28451689.txt,0,0,0,0,74,3390
28541493.txt,0,0,14,0,56,3181
28695541.txt,0,0,0,0,94,5520
28710716.txt,0,0,0,0,86,5420
28821681.txt,0,0,0,0,78,8813
28876322.txt,0,0,0,0,179,7733
28922967.txt,0,0,21,0,178,9584
28930198.txt,0,0,0,0,89,6614
28950802.txt,0,0,1,0,239,12793
28960834.txt,0,0,21,0,119,7838
28968903.txt,0,0,0,0,68,4746
28969702.txt,0,0,16,0,127,6672
28970545.txt,0,0,2,0,147,7440
28983200.txt,0,0,0,0,89,9987
28986339.txt,1,0,0,0,104,6913
28988802.txt,0,0,1,0,139,11482
29075431.txt,5,0,0,0,56,3674
29085545.txt,1,0,0,0,46,4004
29088231.txt,1,0,0,0,113,6993
29091944.txt,0,0,0,0,71,8597
29092039.txt,0,0,0,0,172,7628
29118096.txt,0,0,0,0,87,5271
29125514.txt,0,0,1,0,97,6768
29145511.txt,0,0,0,0,111,6488
29154609.txt,0,0,0,0,84,6345
29183956.txt,1,0,0,0,54,5601
29186080.txt,0,0,40,0,307,16847
29216185.txt,0,0,0,0,95,6659
29239147.txt,0,0,0,0,77,4989
29271559.txt,1,0,0,0,97,5635
29276046.txt,0,0,1,0,69,4429
29302322.txt,3,0,92,0,163,9624
29330855.txt,0,0,0,0,84,5044
29366596.txt,4,0,1,0,150,14565
29378588.txt,0,0,0,0,114,5391
29385132.txt,0,0,0,0,134,7575
29443919.txt,0,0,0,0,126,10487
29486249.txt,0,0,4,0,108,5145
29496658.txt,0,0,0,0,109,5648
29513622.txt,0,0,0,0,87,6681
29518075.txt,1,0,0,0,50,5533
29518991.txt,0,0,0,0,264,18994
29523500.txt,0,0,27,0,107,6039
29543726.txt,0,0,0,0,114,6468
29547620.txt,0,0,5,0,306,16277
29564087.txt,7,0,51,0,362,19629
29625751.txt,0,0,0,0,41,3851
29650659.txt,0,0,1,0,18,1348
29664465.txt,0,0,0,0,99,8918
29681040.txt,0,0,1,0,96,7316
29695372.txt,0,0,2,0,138,7998
29734293.txt,0,0,0,0,83,5991
29739427.txt,0,0,6,0,145,10090
29743081.txt,0,0,0,0,195,10999
29764795.txt,0,0,68,0,169,13117
29775596.txt,0,0,0,0,292,17966
29782491.txt,0,0,0,0,74,6046
29844174.txt,0,0,1,0,88,5745
29860504.txt,0,0,0,0,114,4069
29871948.txt,0,0,1,0,96,7835
29875370.txt,0,0,0,0,163,8294
29875517.txt,5,0,0,0,64,4843
29945696.txt,0,0,0,0,79,13470
29945856.txt,0,0,0,0,160,7183
29973196.txt,0,0,0,0,134,6845
29991697.txt,0,0,0,0,111,6914
30001374.txt,0,0,0,0,170,13852
30025175.txt,0,0,0,0,123,9311
30036098.txt,0,0,0,0,162,7846
30044772.txt,0,0,0,0,89,7969
30059508.txt,0,0,0,0,146,6886
30063720.txt,0,0,0,0,59,6068
30065368.txt,0,0,3,0,100,4777
30066654.txt,0,0,0,0,194,9654
30066655.txt,0,0,8,0,119,7983
30111305.txt,0,0,0,0,52,4842
30153265.txt,0,0,0,0,111,8886
30156460.txt,0,0,0,0,78,4081
30157527.txt,0,0,0,0,61,3522
30181515.txt,0,0,5,0,138,7591
30199844.txt,0,0,0,0,113,11768
30259577.txt,0,0,1,0,124,5619
30265063.txt,1,0,0,0,78,6167
30268114.txt,2,0,0,0,122,6722
30272646.txt,0,0,0,0,134,6000
30311370.txt,0,0,0,0,130,6223
30321173.txt,0,0,0,0,163,10898
30356117.txt,1,0,0,0,84,8979
30382730.txt,0,0,0,0,125,8082
30400818.txt,0,0,0,0,171,10169
30402214.txt,0,0,53,0,141,21254
30408059.txt,0,0,3,0,203,12586
30410741.txt,1,0,10,0,112,10808
30427897.txt,0,0,0,0,190,12699
30444868.txt,0,0,0,0,218,11080
30482597.txt,0,0,0,0,93,4535
30506326.txt,0,0,0,0,117,10796
30522339.txt,0,0,0,0,96,7568
30522991.txt,1,0,0,0,97,6471
30543701.txt,0,0,0,0,75,4726
