filename,Epidemiology,Crowdsourcing,Evaluate,Data mining,Personal,Quality Control,numWord
a 21st century approach to tackling dengue.txt,5,1,2,1,2,1,7576
a contingency model of the critical.pdf.txt,3,1,1,1,1,1,6605
a crowdsourced nucleus understanding nuclear organization.pdf.txt,2,1,1,0,1,0,17935
a crowdsourcing evaluation.pdf.txt,1,1,0,1,2,0,6562
a crowdsourcing model for creating preclinical.txt,2,1,2,0,1,0,4327
a geographic approach for combining social.pdf.txt,4,2,0,4,1,0,11150
a machine learning based information.pdf.txt,5,2,4,3,3,4,45111
a methodology for using professional.pdf.txt,5,2,2,5,2,6,52390
a new source of data for public health surveillance.pdf.txt,3,3,1,0,4,1,6334
adapting standards ethical oversight of participant.txt,3,4,1,0,3,1,3826
after the cap risk assessment citizen science.txt,4,2,0,0,3,0,6663
agent based modeling of crowdinforming.pdf.txt,4,1,1,1,0,1,4731
alignment free design of highly discriminatory.pdf.txt,3,2,1,0,0,2,6828
an evidence based toolset to capture measure.pdf.txt,5,1,2,3,4,3,53995
assessment of unconcious decision.txt,3,2,1,0,4,0,5968
automated indexing of internet stories.txt,3,2,1,2,3,2,5019
big data and disease prevention.pdf.txt,4,4,1,2,3,2,5994
big data for advancing dementia research.pdf.txt,6,2,3,2,2,3,45612
big data in healthcare.pdf.txt,4,2,1,0,2,0,6181
big data in science and healthcare.pdf.txt,4,2,0,1,1,0,4777
big data opportunities for global.pdf.txt,6,3,1,1,0,2,3505
big data usage patterns in health care domain.pdf.txt,6,2,0,2,2,1,7024
biographies of the editors and contributors.pdf.txt,3,5,3,5,4,5,164100
cameras for public health surveillance.txt,1,3,1,1,3,3,5786
can masses of non experts train highly accurate image classification.pdf.txt,2,3,2,0,1,2,2980
can you find an aed.pdf.txt,3,2,0,0,0,1,2404
cancer systems biology.pdf.txt,1,2,1,0,0,3,10231
case studies on specific aplications of ict.pdf.txt,3,4,2,2,3,1,61460
cellular phone based image.pdf.txt,3,1,1,1,2,1,7128
characterizing the followers and tweets.txt,3,2,2,1,3,1,5267
citizen science in the age of neogeography.pdf.txt,3,3,0,2,4,3,15175
citizen sensors for shm use of.pdf.txt,1,2,1,1,1,1,5533
clinical decision support alert.txt,3,1,0,0,2,3,5263
cloud digital patient communities.pdf.txt,2,3,0,0,4,1,1752
combinatorial pair testing distinguishing.pdf.txt,1,1,2,0,1,0,6267
comparative bacterial genomes.pdf.txt,5,4,3,1,2,3,62282
computational opportunities for remote.pdf.txt,3,4,1,1,2,0,5229
constructing a classification of hypersensitivity allergic.pdf.txt,4,1,0,0,1,1,5383
crowdoutaids crowdsourcing youth perspectives.pdf.txt,1,1,0,0,1,0,6465
crowdseeding conflict data.txt,2,1,0,0,2,3,15668
