filename,Epidemiology,Crowdsourcing,Evaluate,Data mining,Personal,Quality Control,numWord
a 21st century approach to tackling dengue.txt,1,1,1,1,1,1,7576
a contingency model of the critical.pdf.txt,1,1,1,1,1,1,6605
a crowdsourced nucleus understanding nuclear organization.pdf.txt,1,1,1,0,1,0,17935
a crowdsourcing evaluation.pdf.txt,1,1,0,1,1,0,6562
a crowdsourcing model for creating preclinical.txt,1,1,1,0,1,0,4327
a geographic approach for combining social.pdf.txt,1,1,0,1,1,0,11150
a machine learning based information.pdf.txt,1,1,1,1,1,1,45111
a methodology for using professional.pdf.txt,1,1,1,1,1,1,52390
a new source of data for public health surveillance.pdf.txt,1,1,1,0,1,1,6334
adapting standards ethical oversight of participant.txt,1,1,1,0,1,1,3826
after the cap risk assessment citizen science.txt,1,1,0,0,1,0,6663
agent based modeling of crowdinforming.pdf.txt,1,1,1,1,0,1,4731
alignment free design of highly discriminatory.pdf.txt,1,1,1,0,0,1,6828
an evidence based toolset to capture measure.pdf.txt,1,1,1,1,1,1,53995
assessment of unconcious decision.txt,1,1,1,0,1,0,5968
automated indexing of internet stories.txt,1,1,1,1,1,1,5019
big data and disease prevention.pdf.txt,1,1,1,1,1,1,5994
big data for advancing dementia research.pdf.txt,1,1,1,1,1,1,45612
big data in healthcare.pdf.txt,1,1,1,0,1,0,6181
big data in science and healthcare.pdf.txt,1,1,0,1,1,0,4777
big data opportunities for global.pdf.txt,1,1,1,1,0,1,3505
big data usage patterns in health care domain.pdf.txt,1,1,0,1,1,1,7024
biographies of the editors and contributors.pdf.txt,1,1,1,1,1,1,164100
cameras for public health surveillance.txt,1,1,1,1,1,1,5786
can masses of non experts train highly accurate image classification.pdf.txt,1,1,1,0,1,1,2980
can you find an aed.pdf.txt,1,1,0,0,0,1,2404
cancer systems biology.pdf.txt,1,1,1,0,0,1,10231
case studies on specific aplications of ict.pdf.txt,1,1,1,1,1,1,61460
cellular phone based image.pdf.txt,1,1,1,1,1,1,7128
characterizing the followers and tweets.txt,1,1,1,1,1,1,5267
citizen science in the age of neogeography.pdf.txt,1,1,0,1,1,1,15175
citizen sensors for shm use of.pdf.txt,1,1,1,1,1,1,5533
clinical decision support alert.txt,1,1,0,0,1,1,5263
cloud digital patient communities.pdf.txt,1,1,0,0,1,1,1752
combinatorial pair testing distinguishing.pdf.txt,1,1,1,0,1,0,6267
comparative bacterial genomes.pdf.txt,1,1,1,1,1,1,62282
computational opportunities for remote.pdf.txt,1,1,1,1,1,0,5229
constructing a classification of hypersensitivity allergic.pdf.txt,1,1,0,0,1,1,5383
crowdoutaids crowdsourcing youth perspectives.pdf.txt,1,1,0,0,1,0,6465
crowdseeding conflict data.txt,1,1,0,0,1,1,15668
crowdseeding in eastern congo.pdf.txt,1,1,0,0,1,1,15345
crowdsourced analysis of clinical trial.pdf.txt,1,1,1,0,1,1,7996
crowdsourced assessment of technical skills a novel method.pdf.txt,1,1,1,0,1,1,4336
crowdsourced bidirectional disaster reporting.pdf.txt,1,1,0,0,1,1,4221
crowdsourced health research studies.txt,1,1,1,0,1,1,6825
crowdsourced peer-versus expert.pdf.txt,1,1,1,0,1,0,7908
crowdsourcing 101 a few tips.pdf.txt,1,1,0,0,1,0,3055
crowdsourcing a new paradigm for interactome driven.pdf.txt,1,1,1,1,0,1,8513
crowdsourcing a normative natural.txt,1,1,1,1,1,1,6573
crowdsourcing applications for public health.pdf.txt,1,1,1,1,1,0,6520
crowdsourcing as a novel technique.txt,1,1,1,0,1,1,4141
crowdsourcing as a screening tool.pdf.txt,1,1,1,0,1,1,2948
crowdsourcing as an innovative communication.txt,1,1,1,0,1,1,4618
crowdsourcing awarness exploration of the ovarian.pdf.txt,1,1,1,0,1,1,7605
crowdsourcing black market prices.txt,1,1,1,1,1,1,3873
crowdsourcing citizen sensing and sensor.pdf.txt,1,1,1,1,1,1,16790
crowdsourcing data collection of the retail tobacco.txt,1,1,1,0,1,1,2771
crowdsourcing for bioinformatics.txt,1,1,1,1,1,1,7635
crowdsourcing for clinical research an evaluation.pdf.txt,1,1,1,0,1,1,5942
crowdsourcing for disaster preparedness.pdf.txt,1,1,1,0,1,1,20460
crowdsourcing for natural disaster response an evaluation.pdf.txt,1,1,1,1,1,1,31315
crowdsourcing for reference correspondence.pdf.txt,1,1,1,0,1,1,3445
crowdsourcing genomic analyses.pdf.txt,1,1,1,0,0,0,1877
crowdsourcing harnessing the masses to advance health and medicine.pdf.txt,1,1,1,1,1,1,7745
crowdsourcing image annotation for nucleus.pdf.txt,1,1,1,1,0,1,4863
crowdsourcing knowledge discovery.txt,1,1,0,1,0,0,2774
Crowdsourcing Malaria Parasite Quantification.txt,1,1,1,1,1,1,4201
crowdsourcing medical expertise in near real time.txt,1,1,0,1,1,1,4198
crowdsourcing medical research.pdf.txt,1,1,0,0,1,0,1889
crowdsourcing natural products discovery.pdf.txt,1,1,0,1,1,0,4104
crowdsourcing novel childhood predictors.pdf.txt,1,1,1,0,1,1,10634
crowdsourcing participatory evaluation.txt,1,1,1,0,1,1,3709
crowdsourcing public health experiments.txt,1,1,0,1,1,1,7824
crowdsourcing solutions to global problems.pdf.txt,1,1,1,0,1,0,12017
crowdsourcing taste research.pdf.txt,1,1,1,0,1,1,5170
crowdsourcing the verification of relationships in biomedical ontologies.pdf.txt,1,1,1,0,1,1,5048
cryptic species of hairwork.pdf.txt,1,1,0,0,0,0,6731
data privacy and ethical uses of volunteered.pdf.txt,1,1,1,1,0,1,4174
development and evaluation of a crowdsourcing.pdf.txt,1,1,0,1,0,1,5053
development of a clinician reputation metric.pdf.txt,1,1,1,1,1,1,5301
