filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,self-reported,patient-report,citizens,individuals,patient-reported,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,posting,citizen,crowdsource,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
a 21st century approach to tackling dengue.txt,0,0,0,0,0,0,0,0,104,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,1,0,0,0,0,5,1,0,0,7,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,7576
a contingency model of the critical.pdf.txt,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6605
a crowdsourced nucleus understanding nuclear organization.pdf.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,17935
a crowdsourcing evaluation.pdf.txt,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6562
a crowdsourcing model for creating preclinical.txt,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4327
a geographic approach for combining social.pdf.txt,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11150
a machine learning based information.pdf.txt,32,2,0,9,0,0,8,1,5,0,0,0,1,0,1,0,19,3,75,0,0,0,0,0,0,31,0,0,0,0,0,0,6,1,0,6,0,0,0,0,67,0,0,0,1,0,0,59,59,0,0,0,0,0,19,18,0,0,0,26,0,0,0,1,0,1,3,48,3,72,0,0,81,0,0,0,0,0,26,1,0,0,0,0,0,5,0,45111
a methodology for using professional.pdf.txt,0,3,0,17,0,1,7,0,3,0,0,0,0,1,0,0,0,1,12,0,0,2,0,0,0,13,0,0,0,0,0,0,7,2,0,16,0,0,1,0,102,0,0,0,0,0,0,20,20,0,0,0,0,0,9,182,0,0,0,31,0,0,0,1,0,0,2,2,1,1,0,0,104,2,0,2,0,0,55,0,1,0,0,0,0,3,0,52390
a new source of data for public health surveillance.pdf.txt,0,4,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6334
adapting standards ethical oversight of participant.txt,0,1,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3826
after the cap risk assessment citizen science.txt,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6663
