			epid		crowd		evaluat		datamin		social		knowl		quality		
			7		0		0		1		0		15		0		
			29		26		1		2		10		9		0		
			27		16		2		0		0		3		0		
			0		1		0		0		0		2		0		
			7		8		0		0		0		3		1		
			2		0		0		0		0		0		1		
			17		18		11		1		0		5		2		
			7		10		0		0		0		0		0		
			2		0		0		1		3		2		1		
			0		2		1		1		0		0		0		
			0		4		17		3		2		10		11		
			0		7		0		1		0		4		0		
			3		4		0		0		0		1		0		
			0		24		28		4		1		3		7		
			0		2		1		1		0		1		1		
			1		0		0		1		13		27		0		
			0		1		0		0		0		0		0		
			7		0		1		7		1		21		0		
			11		20		21		2		17		12		3		
			27		16		0		0		14		6		0		
			44		10		0		1		0		1		2		
			21		49		0		1		8		6		0		
			5		79		1		3		0		10		4		
			63		89		2		13		3		8		0		
			25		33		28		0		0		10		1		
			24		95		5		2		2		11		1		
			9		16		1		0		0		5		0		
			26		21		19		1		0		9		0		
			14		3		8		0		0		2		1		
			107		130		11		23		2		13		4		
			2		7		0		9		0		10		1		
			17		13		34		4		5		3		5		
			24		70		1		2		8		16		1		
			31		13		6		0		0		7		1		
			0		5		0		0		2		0		0		
			3		2		0		0		1		0		0		
			12		45		40		1		0		6		2		
			12		7		0		0		0		2		0		
			33		22		7		2		0		84		3		
			0		4		1		0		0		0		1		
			9		0		2		1		3		3		0		
			29		22		7		7		0		79		3		
			2		3		3		0		1		5		0		
			25		38		14		1		0		47		3		
			22		2		17		1		0		4		0		
			4		4		0		1		0		1		0		
			60		13		2		150		0		10		0		
			0		0		1		0		0		4		0		
			5		0		0		0		0		10		0		
			0		3		0		1		0		2		0		
			2145		9		4		17		8		21		1		
			4		1		3		0		0		0		0		
			2		1		1		4		0		1		0		
			0		2		0		0		1		0		0		
			7		5		1		3		0		28		0		
			0		0		0		0		0		0		0		
			32		79		0		4		1		30		0		
			16		6		0		1		20		0		0		
			87		12		25		13		1		7		3		
			83		3		0		0		1		6		0		
			0		1		7		4		2		0		0		
			8		1		0		0		0		0		0		
			4		1		9		2		0		4		1		
			7		15		1		0		0		3		0		
			60		38		7		17		2		9		0		
			5		21		0		0		0		2		0		
			45		2		0		0		0		9		0		
			10		4		19		3		0		3		0		
			1		4		1		27		16		14		2		
			20		18		0		0		0		2		1		
			2		5		8		2		0		8		2		
			7		1		0		0		0		0		0		
			13		9		3		3		0		3		2		
			0		20		15		10		7		29		3		
			12		5		3		2		1		7		1		
			18		19		1		5		2		5		1		
			0		4		0		0		0		2		0		
			37		73		0		6		0		22		1		
			0		5		0		4		2		3		0		
			0		1		1		0		1		2		0		
			1		26		3		35		0		4		3		
			0		2		1		5		7		1		0		
			21		24		13		2		2		3		3		
			4		6		90		6		1		3		3		
			3		0		11		0		5		3		0		
			2		0		0		0		0		1		0		
			4		4		0		0		2		0		0		
			4		0		0		1		0		0		0		
			2		0		0		1		0		8		0		
			0		0		0		0		0		0		0		
			1		5		0		0		0		0		0		
			2		2		1		10		0		4		1		
			7		1		0		0		0		2		0		
			6		21		0		0		1		2		0		
			10		10		0		1		0		1		0		
			3		5		1		0		0		5		3		
			12		1		0		1		0		17		0		
			0		25		5		16		3		1		1		
			0		0		0		3		0		2		2		
			27		55		21		5		3		13		0		
			0		2		0		3		1		0		0		
			43		2		0		6		6		0		0		
