filename,validated,survey,worker,natural,patientslikeme,quality,text,recruitment,health,user,patient,trained,user,symptom,crowd-sourcing,participant,validate,data,performance,microtask,crowd-sourced,non-expert,player,crowd,knowledge,diagnosis,players,tweeted,self-reported,patient-report,tweets,citizens,individuals,patient-reported,tweet,crowdsourcing,screen,self,experience,extracted,individual,dictionary,23andme,disease,respondents,posts,posts,virus,people,self-report,extraction,extraction,posted,online,online,posted,online,crowd-source,diseases,medical,users,users,participants,annotate,posting,media,posting,citizen,crowdsource,tweeting,turk,image,reliability,query,diagnose,validation,combine,flu,annotated,experienced,extracts,amazon,crowdsourced,workers,gold,recruit,train,extracting,post,post,turkers,extract,extract,numWord
a 21st century approach to tackling dengue.pdf.txt,0,0,0,0,0,0,0,0,104,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,5,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,7576
a comparison of two sleep spindle.pdf.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8370
a crowdsourcing model for creating preclinical.pdf.txt,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4327
accelerating resistance inadequate antibacterial.pdf.txt,1,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662
adapting standards ethical oversight of participant.pdf.txt,0,1,0,0,1,0,0,0,25,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3826
after the cap risk assessment citizen science.pdf.txt,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6663
assessment of unconcious decision.txt,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,5968
automated indexing of internet stories.txt,1,0,0,2,1,0,0,1,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5019
automoatic extractino of personal experiences for patients' blogs a case study in chronic obstructive pulmonary disease.txt,0,0,0,1,0,0,1,1,26,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,19,0,0,0,0,12,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4383
cameras for public health.txt,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,13,0,0,0,0,0,1,0,0,1,25,0,1,0,0,0,0,0,0,2,0,5786
characterizing the followers and tweets.txt,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,5267
chemical target and bioactive properties.pdf.txt,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13518
