,Year,Month,Date,PMID,Journal,Author,Title
1,2022,6,15,35772927,Aust Health Rev,Oliver Walsh,Everyone's a winner if we test less: the CODA action plan.
2,NA,NA,NA,35770033,J Appalach Health,Lauri Andress,"Appalachia: Putting the ""Critical"" in Race and Crowdsourcing a Pathway Model on Institutional Racism."
3,NA,NA,NA,35769502,Bioscience,Bradley C Allf,Citizen Science as an Ecosystem of Engagement: Implications for Learning and Broadening Participation.
4,2022,6,15,35739325,Microb Ecol,Jean Legeay,A Comprehensive Insight of Current and Future Challenges in Large-Scale Soil Microbiome Analyses.
5,2022,6,14,35738362,J Arthroplasty,Nicholas R Pagani,Online Crowdsourcing Survey of United States Population Preferences and Perceptions Regarding Outpatient Hip and Knee Arthroplasty.
6,2022,2,22,35728997,J Manipulative Physiol Ther,Lara G Hilton,Comparing the Recruitment of Research Participants With Chronic Low Back Pain Using Amazon Mechanical Turk With the Recruitment of Patients From Chiropractic Clinics: A Quasi-Experimental Study.
7,2022,3,7,35727616,J Med Internet Res,Neil Jay Sehgal,The Benefits of Crowdsourcing to Seed and Align an Algorithm in an mHealth Intervention for African American and Hispanic Adults: Survey Study.
8,2022,4,20,35727610,J Med Internet Res,Steven S Doerstling,A Disease Identification Algorithm for Medical Crowdfunding Campaigns: Validation Study.
9,NA,NA,NA,35721299,JAAD Int,Nathaniel Goldman,Patient crowdfunding for inflammatory skin disease.
10,NA,NA,NA,35710301,Aesthet Surg J,Joshua Amaya,A Crowdsourced Evaluation of Facial Averageness and Attractiveness.
11,2022,6,8,35710044,J Acad Nutr Diet,Monica Diaz-Beltran,Visual Cues and Optimal Defaults in Fast-Food Combo Meals Benefit Health Concerned Consumers - A Randomized Scenario-Based Experiment.
12,2022,6,8,35710043,J Acad Nutr Diet,Monica Diaz-Beltran,"Fast-Food Optimal Defaults Reduce Calories Ordered, As Well As Dietary Autonomy: A Scenario-Based Experiment."
13,2022,5,13,35702255,PeerJ,Javier Arellano-Verdejo,Use of semantic segmentation for mapping Sargassum on beaches.
14,2022,4,22,35701720,Behav Res Methods,Birgit Popp,Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions.
15,2022,5,5,35692939,Front Artif Intell,Federica Lucia Vinella,How Personality and Communication Patterns Affect Online ad-hoc Teams Under Pressure.
16,2022,4,25,35692938,Front Artif Intell,Federica Lucia Vinella,Crowdsourcing Team Formation With Worker-Centered Modeling.
17,2022,5,5,35689231,BMC Health Serv Res,Camilla Forbes,Prioritising child health and maternity evidence-based interventions or service models: a stakeholder-driven process.
18,NA,NA,NA,35672076,BMJ Open,Phyllis Dako-Gyeke,Social innovations to increase health coverage: evidence from a crowdsourcing contest in Ghana.
